Customer shall not produce any of ODP Business Solutions proprietary and confidential information without ODP Business Solutions prior written consent.  ,,,,,,,,
"Upon notice to ODP Business Solutions of any request for its confidential information, Customer shall allow ODP Business Solutions to determine, in its sole discretion, ",,,,,,,,
"the relevant material to disclose, if any.  Customer shall assume all of ODP Business Solutions information provided to Customer is confidential. ",,,,,,,,
,,,,,,,,
 5/3 ,,,,,,,,
"Reporting Period: May 1, 2022 - May 1, 2023",,,,,,,,
Depot Product Code,Product Description,Wholesaler Product Code,Primary Supplier Id,Primary Supplier Name,Merch Dept,Pack Qty,UOM,Qty Sold
112495,"TONER,OD REMAN,HP 4600,BLACK",OD4600B,1005539,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,2
114756,"TONER,HP 51A,LASERJET,BLACK",Q7551A,419894,HP INC,65-Toners/other imaging,1,EA,2
1159969,"TONER,HP,212A,CYN",5992844,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,173
1183283,OEM Ink Parts,CN459-67006,1069337,DISTRIBUTION MANAGEMENT INC,14-Inkjet cartridges,1,EA,1
122318,"INK,HP,BLK,OJ",B5L09A,419894,HP INC,14-Inkjet cartridges,1,EA,39
1365895,Lexmark E260A31G Corporate Ctg,E260A31G,6229,LEXMARK INTL INC,65-Toners/other imaging,1,EA,1
141233,"INK.HP,728,130 ML,YELLOW",3A4686,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,3
146363,"TONER,HP,B5L37A",4158218,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,13
153938,"TONER,50F1H0E,REMAN,LXMRK,BLK",50F1H0E,6229,LEXMARK INTL INC,65-Toners/other imaging,1,EA,95
154383,"TONER,HP,MPS,508X,CYAN",CF361XC,419894,HP INC,65-Toners/other imaging,1,EA,24
154414,"CARTRIDGE,LASER,Q2612A",Q2612A,3061,HP INC,65-Toners/other imaging,1,EA,3
171264,"TONER,HP,657XC,LSRJET,CYAN",CF471XC,419894,HP INC,65-Toners/other imaging,1,EA,38
1859074,"TONER,HP,212A,YLW",W2122A,419894,HP INC,65-Toners/other imaging,1,EA,147
196326,"TONER,LJ,HP CC364XC,BLACK",CC364XC,419894,HP INC,65-Toners/other imaging,1,EA,44
197554,"CRTDG,MICR,CE255A,6K",ELI75489,100,SP RICHARDS,65-Toners/other imaging,1,EA,2
199035,"TONER,LJ,HP CE505XC,BLACK",CE505XC,3061,HP INC,65-Toners/other imaging,1,EA,7
209567,"TONER,REMAN,3.5K,LEXMARK",E260A80G,6229,LEXMARK INTL INC,65-Toners/other imaging,1,EA,337
213236,"TONER,HP CF320XC,BLACK",CF320XC,419894,HP INC,65-Toners/other imaging,1,EA,271
213240,"TONER,HP,CF321AC,CNT,CYAN",CF321AC,419894,HP INC,65-Toners/other imaging,1,EA,263
213276,"TONER,HP,CF322AC,CNT,YELLOW",CF322AC,419894,HP INC,65-Toners/other imaging,1,EA,131
213344,"TONER,HP,CF323AC,CNT,MAGENTA",CF323AC,419894,HP INC,65-Toners/other imaging,1,EA,154
213375,"TONER,HP LJ CF330XC,BLACK",CF330XC,419894,HP INC,65-Toners/other imaging,1,EA,8
213395,"TONER,HP LJ CF331AC,CYAN",CF331AC,419894,HP INC,65-Toners/other imaging,1,EA,8
213782,"TONER, HP CF332AC,YELLOW",CF332AC,419894,HP INC,65-Toners/other imaging,1,EA,6
213803,"TONER,HP,LJ CF333AC,MAGENTA",CF333AC,419894,HP INC,65-Toners/other imaging,1,EA,7
223295,"INK,HP65XL,HIGHYIELD,COLOR",N9K03AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,7
224744,RECYCLING PROGRAM,224744,8888,CATALOGS & BSD PRINTING,14-Inkjet cartridges,1,EA,18
231939,"TONER,LJ CE285A,HP,BLACK",CE285A,3061,HP INC,65-Toners/other imaging,1,EA,3
233555,"TONER,HP,LJ,655A,BLACK",CF450A,419894,HP INC,65-Toners/other imaging,1,EA,412
238160,"HEWLETT PACKARD,952,BLACK",F6U15AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,2
243134,"CRTDG,DSNJ,HP727,CYN,300ML",3A4092,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,9
246428,TONER LASERJET 26A BLACK,CF226A,3061,HP INC,65-Toners/other imaging,1,EA,43
2487170,"TONER,HP,W2120XC,CNTRCT,BLK",W2120XC,419894,HP INC,65-Toners/other imaging,1,EA,24
250001,"TONER,HP,CF411XC,CY",CF411XC,419894,HP INC,65-Toners/other imaging,1,EA,3
250725,"TONER,HP,CF287XC,BLK",CF287XC,3061,HP INC,65-Toners/other imaging,1,EA,36
262061,"CRTDG,LSR,DELL D2150M,MA",ELI75960,100,SP RICHARDS,65-Toners/other imaging,1,EA,1
262331,"HEWLETT PACKARD,952XL,CYAN",L0S61AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,3
262890,"TONER,LEX E240,TAA COMPLIANT",24060SW,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,2
2629623,"TONER,HP,655A,4 CLR,CMYK",HP655ASET-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,4,PK,6
264643,"TONER,HP,CE390X,HY,BLACK",OD90X,1005539,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,13
271224,"INK,EPSON,T802XL420-S,YELLOW",T802XL420-S,1351,EPSON AMERICA INC,14-Inkjet cartridges,1,EA,1
2717529,OEM Tnr,5646911,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,2
2719650,Compatible Toner,MSE02214216,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
282412,"CorrRbn,IBM Wheelwriter,blk",R5110,472968,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,2
284748,"TONER,DELL215X,HY,MAGENTA",8WNV5,455461,DELL MARKETING LP,65-Toners/other imaging,1,EA,1
2866047,"INK,CARTRIDGE,HP,910,COMBO,3PK",3YN97AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,2
295223,"CARTRIDGE,HP LJ Q7553A,BLACK",Q7553A,419894,HP INC,65-Toners/other imaging,1,EA,2
296525,"TONER,HP,653X LJ MFP 680,CYAN",545-681-ODP,418292,IMAGE PROJECTIONS WEST INC,65-Toners/other imaging,1,EA,2
3077412,CATRIDGE HIGH YIELD RETURN PRO,E360H41G,1069337,DISTRIBUTION MANAGEMENT INC,14-Inkjet cartridges,1,EA,1
308633,"CRTDG,DSNJT,HP727,PBK,300ML",F9J79A,3061,HP INC,14-Inkjet cartridges,1,EA,2
319055,"CARTRIDGE,LASERJET 4600,CYAN",C9721A,419894,HP INC,65-Toners/other imaging,1,EA,1
319099,"CARTRIDGE,LSRJET 4600,MAGENTA",C9723A,419894,HP INC,65-Toners/other imaging,1,EA,3
319209,"CARTRIDGE,LASERJET 4600,YELLOW",C9722A,419894,HP INC,65-Toners/other imaging,1,EA,2
319275,"CARTRIDGE,LASERJET 4600,BLACK",C9720A,419894,HP INC,65-Toners/other imaging,1,EA,2
320111,"INK,HP,PAGEWIDE,981A,BLACK",J3M71A,3061,HP INC,14-Inkjet cartridges,1,EA,133
320549,"INK,HP,EXTRA HY,981Y,CYAN",L0R13A,3061,HP INC,14-Inkjet cartridges,1,EA,201
323093,"INK,HP,64XL,OG,BLACK,CARTRIDGE",N9J92AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
327797,"HEWLETT PACKARD,952,CYAN",L0S49AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
328822,"TONER,F/M4555,HY MPS,BLACK",CE390XC,419894,HP INC,65-Toners/other imaging,1,EA,76
3293513,110V MNT KIT FOR LASERJET,8W0116,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,23
