 Money ,,,MFR PART NUMBER,Bullcrap,Column 3,Staples #,,MFR PART NUMBER,Ability One Flag,MFR NAME,DESCRIPTION,UPC,Do we like it
,100,,IM1PZ8858,IM1PZ8858,,2657300,,IM1PZ8858,N,CANON USA.                         ,CANON INKCART CL-241 AST,13803134988,no
,100,,IM1DJ1198,IM1DJ1198,CH563WN,863057,CH563WN,IM1DJ1198,N,HP,"HP 61XL Black Ink Cartridge, High Yield (CH563WN)",884962983621,no
,100,,IM12UA710,IM12UA710,,24316180,,IM12UA710,N,HP,HP 48A Black Standard Yield Toner Cartridge,190781977926,no
,100,,TN630,TN630,TN-630,2123380,TN-630,STTN630,N,TRU RED,TRU RED™ Brother (TN-630) Black Remanufactured Standard Yield Toner Cartridge,718103262156,yes
,100,,50F1000,50F1000,50F1000,117469,50F1000,LEX50F1000,N,LEXMARK,"Lexmark 501 Black Toner Cartridge, Standard (50F1000)",,yes
,100,,CB542A,CB542A,CB542A/1977B001AA,977759,CB542A/1977B001AA,STCB542A,N,TRU RED,TRU RED™ Remanufactured Yellow Standard Yield Toner Cartridge Replacement for HP125A/Canon116 (CB542A/1977B001AA),718103138499,no
,80,,IM1VP0502,IM1VP0502,,222446,,IM1VP0502,N,CANON,CANON CL-246 C/M/Y COLOR INK,13803215564,yes
,80,,IM13A1741,IM13A1741,F6U64AN,1611435,F6U64AN,IM13A1741,N,HP,"HP 63XL Black Ink Cartridge, High Yield (F6U64AN)",889296267423,yes
,80,,CN049AN,CN049AN,CN049AN,364842,CN049AN,HEWCN049AN,N,HP,HP 950 Black Ink Cartridge (CN049AN),,yes
,80,,IM12JQ044,IM12JQ044,,2735052,,IM12JQ044,N,BROTHER,"Brother TN 730 Black Toner Cartridge, Standard",12502649267,no
,80,,IM1YZ7049,IM1YZ7049,CF401A,1585356,CF401A,IM1YZ7049,N,HP,HP 201A Cyan Toner Cartridge (CF401A),888793237953,yes
,80,,CB435A,CB435A,CB435A,836624,CB435A,STCB435A,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Toner Cartridge Replacement for HP 35A (CB435A),,no
,75,,8279B001,8279B001,8279B001,2764690,8279B001,ST8279B001,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Ink Cartridge Replacement for Canon PG-245 (8279B001),718103286756,yes
,75,,CH563WN,CH563WN,CH563WN,954142,CH563WN,STCH563WN,N,TRU RED,TRU RED™ HP 61XL (CH563WN) Black Remanufactured High Yield Ink Cartridge,718103183086,no
,75,,CF279A,CF279A,CF279A,2454048,CF279A,HEWCF279A,N,HP,"HP 79A Black Toner Cartridge, Standard (CF279A)",889894680617,no
,75,,TN6302PK,TN6302PK,TN-630,2715856,TN-630,STTN6302PK,N,TRU RED,"TRU RED™ Remanufactured Black Standard Yield Toner Cartridge Replacement for Brother TN630 (TN-630), 2/Pack",,yes
,75,,CB543A,CB543A,CB543A/1978B001AA,977758,CB543A/1978B001AA,STCB543A,N,TRU RED,TRU RED™ Remanufactured Magenta Standard Yield Toner Cartridge Replacement for HP125A/Canon116 (CB543A/1978B001AA),718103138482,yes
,75,,IM1N62976,IM1N62976,CB435A,712993,CB435A,IM1N62976,N,HP,HP 35A Black Toner Cartridge (CB435A),,yes
,65,,IM1YZ7368,IM1YZ7368,CF283A,308826,CF283A,IM1YZ7368,N,HP,"HP 83A Black Toner Cartridge, Standard (CF283A)",,no
,65,,IM1DJ1065,IM1DJ1065,CH561WN,863056,CH561WN,IM1DJ1065,N,HP,"HP 61 Black Ink Cartridge, Standard (CH561WN)",884962983607,no
,65,,F6U64AN,F6U64AN,F6U64AN,2796082,F6U64AN,STF6U64AN,N,TRU RED,TRU RED™ HP 63XL (F6U64AN) Black Remanufactured High Yield Ink Cartridge,718103289016,yes
,65,,CN053AN#140,CN053AN#140,CN053AN#140,423882,CN053AN#140,CN053AN#140,N,HP,HP 932XL Black High Yield Ink Cartridge (CN053AN#140),886111601387,yes
,65,,IM16YE854,IM16YE854,W2111A,24422201,W2111A,IM16YE854,N,HP,HP 206A Cyan Standard Yield Toner Cartridge (W2111A),193905265060,no
,65,,CF401A,CF401A,CF401A,2764683,CF401A,STCF401A,N,TRU RED,TRU RED™ Remanufactured Cyan Standard Yield Toner Cartridge Replacement for HP 201A (CF401A),718103284936,no
,60,,N9J92AN,N9J92AN,N9J92AN,24458075,N9J92AN,STN9J92AN,N,TRU RED,TRU RED™ Remanufactured Black High Yield Ink Cartridge Replacement for HP 64XL (N9J92AN),801509403770,no
,50,,IM1PZ8859,IM1PZ8859,,2657299,,IM1PZ8859,N,CANON USA.                         ,CANON INKCART PG-240 BK,13803134964,yes
