Seq,OEM Number,ASE OEM Number,ASE Clover Number,Clover Yield,Notes, Clover COGS , ASE Price ,Contract Status,Laser Rank,Color Laser Rank,MFR PART NUMBER,MFR PART NUMBER,Part # From Description,Staples Part Number,,MFR PART NUMBER,Ability One Flag,MFR NAME,DESCRIPTION,LONG DESCRIPTION,EXTENDED DESCRIPTION,UOM,Pack per Quantity,Final UPC CODE,UNSPC,PRODUCT CLASS,PRODUCT DEPARTMENT,PRODUCT SUB-DEP'T,Image Link,COO Name,COO,Post Consumer Rec Content,Total Recycled,Recycled Content,NSN Item,NSN Item 13-digit,Dropship Flag, PARTNER LIST PRICE , PARTNER COST ,Action
10214,N9K02AN#140,HEWN9K02AN,N9K02AN-R,120,, $ 11.30 , $ 14.95 ,Open Market Item,,,IM17J9903,IM17J9903,N9K02AN#140,1990399,N9K02AN#140,IM17J9903,N,HP,HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140),HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140),"Standard ink; up to 120 pages. The package includes one black ink cartridge. The unmatched reliability of original HP ink cartridge means consistent convenience and better value. Compatible with: HP AMP 100, HP DeskJet 2620, 2621, 2622, 2624, 2630, 2632, 2633, 2652, 2655, 3720, 3721, 3722, 3723, 3732, 3733, 3735, 3750, 3752, 3755, 3758, HP ENVY 5020, 5030, 5032, 5055",EA,1,889894900739,44103116,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/sp40883768_sc7?jpg,MALAYSIA,MY,74%,75%,Y,,,,24.84,19.67,No Change
10581,C2P06AN,HEWC2P06AN,C2P06AN-R,165,, $ 16.91 , $ 20.38 ,On HPG Contract,,,IM1VZ2593,IM1VZ2593,C2P06AN,1182802,C2P06AN,IM1VZ2593,N,HP,"HP 62 Tri-Color Ink Cartridge, Standard Yield (C2P06AN)","HP 62 Tri-Color Ink Cartridge, Standard Yield (C2P06AN)","The quality you want, the reliability you need. Give your household a boost with sharp graphics and crisp text for virtually any need. Tackle each printing project with confidence, and get the quality and effortless printing you expect. Get what you expec",EA,1,888182992296,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/s0864216_sc7?jpg,MALAYSIA,MY,73%,74%,Y,,,,34.51,26.62,No Change
6613,CH562WN,HEWCH562WN,CH562WN-R,165,, $ 15.00 , $ 18.95 ,Open Market Item,,,IM1DJ1066,IM1DJ1066,CH562WN,863061,CH562WN,IM1DJ1066,N,HP,"HP 61 Tri-Color Ink Cartridge, Standard Yield (CH562WN)","HP 61 Tri-Color Ink Cartridge, Standard Yield (CH562WN)","Designed to handle the toughest tasks with ease. You can rely on crisp, clean printing with reliable results. Spend less time replacing ink and more time printing.",EA,1,884962983614,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/sp40890246_sc7?jpg,MALAYSIA,MY,69%,70%,Y,,,,45.2,38.85,No Change
10212,CH562WN,HEWCH562WN,CH562WN-R,165,, $ 15.00 , $ 18.95 ,Open Market Item,,,CH562WN,CH562WN,CH562WN,954140,CH562WN,STCH562WN,N,TRU RED,TRU RED™ Remanufactured Tri-Color Standard Yield Ink Cartridge Replacement for HP 61 (CH562WN),TRU RED™ Remanufactured Tri-Color Standard Yield Ink Cartridge Replacement for HP 61 (CH562WN),"Yields up to 165 pages per standard cartridge. Remanufactured cartridges will save you money compared to the National Brands. Contains one tri-color standard yield cartridge. TRU RED™ remanufactured cartridges produce reliable copies. Packaging contains 100% recycled content. 1-year guarantee to be free of manufacturer's defects, get free replacement or your money back. Compatible with: HP DeskJet 1000, 1010, 1050, 1051, 1055, 1056, 1510, 1512, 2050, 2510, 2512, 2514, 2540, 2542, 2620, 3000, 3050, 3050A, 3051A, 3052A, 3054A, 3056A, 3510, 3511, 3512; ENVY 4500, 5530; OfficeJet e-All-In-One 4630. <a href=""http://sds.staples.com/msds/954140.pdf"" target=""new"">Safety Data Sheet</a>",EA,1,718103183093,44103105,Ink,"Ink, Toner & Drum Units",Reman Inkjet Cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/s1158133_sc7?jpg,UNITED STATES,US,95%,95%,Y,,,,32.97,16.54,No Change
10498,F6U61AN,HEWF6U61AN,F6U61AN-R,165,, $ 16.03 , $ 22.95 ,Open Market Item,,,IM13A1592,IM13A1592,F6U61AN,1611540,F6U61AN,IM13A1592,N,HP,"HP 63 Tri-Color Ink Cartridge, Standard Yield (F6U61AN)","HP 63 Tri-Color Ink Cartridge, Standard Yield (F6U61AN)",Get the most out of your cartridge with advanced supplies. Print all the high-quality photos and documents you need with Original HP ink cartridges. Rely on Original HP ink cartridges—built and tested with your HP printer to deliver flawless results. Rely,EA,1,889296267393,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/s0970398_sc7?jpg,MALAYSIA,MY,73%,74%,Y,,,,45.25,35.82,No Change
13205,5207B001,CNM5207B001,5207B001-R,180,, $ 11.96 , $ 15.50 ,Open Market Item,,,IM1PZ8859,IM1PZ8859,,2657299,,IM1PZ8859,N,CANON USA.                         ,CANON INKCART PG-240 BK,Canon 240 Black Standard Yield Ink Cartridge (5207B001),"Keep important prints free of smudges and streaks with this black ink tank. Featuring Full Photolithographic Inkjet Nozzle Engineering technology, this ink tank gives documents extra sharpness and detail, while the black color provides strong contrast against white papers. This Canon PG-240 ink tank is compatible with select PIXMA printers and is packaged individually, so you can order the exact quantity you need.",EA,1,13803134964,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/sp42187033_sc7,JAPAN,JP,0%,0%,N,,,,21.99,22.26,Change
13238,5209B001,CNM5209B001,5209B001-R,180,, $ 13.48 , $ 19.50 ,Open Market Item,,,IM1PZ8858,IM1PZ8858,,2657300,,IM1PZ8858,N,CANON USA.                         ,CANON INKCART CL-241 AST,Canon 241 TriColor Standard Yield Ink Cartridge (5209B001),"Keep important prints free of smudges and streaks with this tricolor ink cartridge. Featuring Full Photolithographic Inkjet Nozzle Engineering technology, this ink cartridge gives documents extra sharpness and detail, while the tricolor formula provides strong contrast against white papers. This Canon CL-241 ink cartridge is compatible with select PIXMA printers and packaged individually, so you can order the exact quantity you need.",EA,1,13803134988,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/m007046671_sc7,JAPAN,JP,0%,0%,N,,,,29.99,28.33,Change
7286,8279B001,CNM8279B001,8279B001-R,180,, $ 11.48 , $ 14.95 ,Open Market Item,,,8279B001,8279B001,8279B001,2764690,8279B001,ST8279B001,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Ink Cartridge Replacement for Canon PG-245 (8279B001),TRU RED™ Remanufactured Black Standard Yield Ink Cartridge Replacement for Canon PG-245 (8279B001),"Yields up to 180 pages per standard cartridge. Remanufactured cartridges will save you money compared to the National Brands. Contains one black standard yield cartridge. TRU RED™ remanufactured cartridges produce reliable copies. Packaging contains 100% recycled content. 1-year guarantee to be free of manufacturer's defects, get free replacement or your money back. Compatible with: Canon PIXMA iP2820, MG2420, MG2520, MG2525, MG2920, MG2922, MG2924, MX492, MG3020. <a href=""http://sds.staples.com/msds/2764690.pdf"" target=""new"">Safety Data Sheet</a>",EA,1,718103286756,44103105,Ink,"Ink, Toner & Drum Units",Reman Inkjet Cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/s1157931_sc7?jpg,UNITED STATES,US,98%,98%,Y,,,,15.94,13.2,No Change
8599,8281B001,CNM8281B001,8281B001-R,180,, $ 13.46 , $ 18.50 ,Open Market Item,,,IM1VP0502,IM1VP0502,,222446,,IM1VP0502,N,CANON,CANON CL-246 C/M/Y COLOR INK,Canon 246 TriColor Standard Yield Ink Cartridge (8281B001),"Keep important prints free of smudges and streaks with this tricolor ink cartridge. Featuring Full Photolithographic Inkjet Nozzle Engineering technology, this ink cartridge gives documents extra sharpness and detail, while the tricolor formula provides strong contrast against white papers. This Canon CL-246 ink cartridge is compatible with select PIXMA printers and packaged individually, so you can order the exact quantity you need.",EA,1,13803215564,44103116,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/222446?jpg,JAPAN,JP,0%,0%,N,,,,29.99,26.57,Change
10260,CH561WN,HEWCH561WN,CH561WN-R,190,, $ 11.14 , $ 14.95 ,Open Market Item,,,IM1DJ1065,IM1DJ1065,CH561WN,863056,CH561WN,IM1DJ1065,N,HP,"HP 61 Black Ink Cartridge, Standard (CH561WN)","HP 61 Black Ink Cartridge, Standard (CH561WN)","Designed to handle the toughest tasks with ease. You can rely on crisp, clean printing with reliable results. Spend less time replacing ink and more time printing.",EA,1,884962983607,44103105,Ink,"Ink, Toner & Drum Units",OEM Inkjet cartridges,https://ac-order.staplesadvantage.com/is/image/Staples/s0374360_sc7?jpg,MALAYSIA,MY,70%,71%,Y,,,,33,26.13,No Change
