,,,,,,,,,,,DESCRIPTION,,,,STAPLES ITEM ID,,QTY. ,STAPLES PRICE
DAL,10002879,'@B14045,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL RD,TEXARKANA,TX,75503,1/25/2012,BROTHER TN760 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2735027,A8243-H012443, 10 ,$69.20 
DAL,10002879,'@B14045,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL RD,TEXARKANA,TX,75503,1/25/2012,LEXMARK 521 RETRN PROG TON BLK,Ink and Toner,OEM Toner,EA,117441,A8243-H012443, 12 ,$115.03 
DAL,10002879,'@B14045,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL,"TEXARKANA SURGERY CENTER, LP",5404 SUMMERHILL RD,TEXARKANA,TX,75503,1/25/2012,LEXMARK 58D1H00 HY BLACK TNR,Ink and Toner,OEM Toner,EA,24364221,A8243-H012443, 15 ,$249.59 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,AXIS SPINE-CDA,NORTHWEST SPECIALTY HOSPITAL,7600 N MINERAL DR,COEUR D ALENE,ID,83815,3/8/2022,BROTHER TN660 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1005409,M8993-H053426, 16 ,$48.31 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,AXIS SPINE-CDA,NORTHWEST SPECIALTY HOSPITAL,7600 N MINERAL DR,COEUR D ALENE,ID,83815,3/8/2022,BROTHER TN730 BLACK,Ink and Toner,OEM Toner,EA,2735052,M8993-H053426, 19 ,$39.47 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,AXIS SPINE-PF,NORTHWEST SPECIALTY HOSPITAL,1641 E POLSTON AVE,POST FALLS,ID,83854,3/8/2022,BROTHER TN660 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1005409,M8993-H053426, 6 ,$48.31 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,BELLA,BELLA BUSINESS OFFICE,1641 E POLSTON AVE,POST FALLS,ID,83854,3/10/2015,501H HIGH YIELD RETURN PROGRAM,Ink and Toner,OEM Toner,EA,LEX50F1H0E,M8993-H053426, 16 ,$167.99 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,BELLA,BELLA BUSINESS OFFICE,1641 E POLSTON AVE,POST FALLS,ID,83854,3/10/2015,BROTHER TN360 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,713996,M8993-H053426, 11 ,$48.66 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,BELLA,BELLA BUSINESS OFFICE,1641 E POLSTON AVE,POST FALLS,ID,83854,3/10/2015,HP 26A BLACK,Ink and Toner,OEM Toner,EA,2711333,M8993-H053426, 14 ,$84.94 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,BELLA,BELLA BUSINESS OFFICE,1641 E POLSTON AVE,POST FALLS,ID,83854,3/10/2015,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,M8993-H053426, 60 ,$99.63 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,DALTON AVE,PREMIER URGENT CARE,315 W DALTON AVE  STE A,COEUR D' ALENE,ID,83815,10/30/2012,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,M8993-H054389, 5 ,$61.65 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,DALTON AVE,PREMIER URGENT CARE,315 W DALTON AVE  STE A,COEUR D' ALENE,ID,83815,10/30/2012,HP 26X HI-YIELD BLACK 2PK,Ink and Toner,OEM Toner,PK,2596062,M8993-H054389, 22 ,$368.08 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,DALTON AVE,PREMIER URGENT CARE,315 W DALTON AVE  STE A,COEUR D' ALENE,ID,83815,10/30/2012,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,M8993-H054389, 66 ,$99.63 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN223 CYAN,Ink and Toner,OEM Toner,EA,24341847,M8993-H053426, 2 ,$68.14 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN223 MAGENTA,Ink and Toner,OEM Toner,EA,24341848,M8993-H053426, 55 ,$68.14 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN223 YELLOW,Ink and Toner,OEM Toner,EA,24341849,M8993-H053426, 10 ,$68.14 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN223BK BLACK TONER,Ink and Toner,OEM Toner,EA,IM15KA494,M8993-H053426, 22 ,$54.04 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN227 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,24339498,M8993-H053426, 66 ,$70.49 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN227C HY CYAN TONER,Ink and Toner,OEM Toner,EA,24339496,M8993-H053426, 14 ,$90.70 
